彖	乛豕 vu
莜	艹攵 cw
莫	艹大 cd
莴	艹内 cn
莹	艹玉 cy
莺	艹鸟 cn
菊	艹米 ch
菌	艹禾 ch
菩	艹口 ck
菪	艹石 cu
菱	艹夂 cw
菹	艹且 cq
萄	艹缶 cf
萏	艹臼 cj
萤	艹虫 ci
萦	艹小 cc
葭	艹又 ci
葱	艹心 cx
葵	艹天 ct
葺	艹耳 cq
蒎	艹乀 cy
蒜	艹小 cc
蒟	艹口 ck
蒴	艹月 cl
蒸	艹灬 ch
蓂	艹八 cz
蓄	艹田 ct
蓍	艹日 cp
蓟	艹刂 cd
蓦	艹马 cm
蓰	艹人 cr
蔌	艹人 cr
蔸	艹儿 cq
蔹	艹攵 cw
蔽	艹攵 cw
蕊	艹心 cx
蕤	艹生 cu
蕨	艹人 cr
蕴	艹皿 cm
薄	艹寸 cc
薜	艹十 cu
薹	艹土 ct
藁	艹木 cm
藉	艹日 cp
藐	艹儿 cq
藨	艹灬 ch
藩	艹田 ct
蘖	艹木 cm
蘧	艹辶 cz
蘼	艹非 cf
虫	中丶 vx
蚕	天虫 ti
蛊	虫皿 im
蛑	虫牛 in
蛮	亠虫 wi
蜎	虫月 il
蜗	虫内 in
蜜	宀虫 bi
蜣	虫羌 iq
蝇	虫电 id
蝘	虫女 in
蝠	虫田 it
蝥	龴虫 si
蝲	虫刂 id
蝶	虫木 im
螟	虫八 iz
螫	土虫 ti
螯	龶虫 fi
螽	夂虫 wi
蟀	虫十 iu
蟊	龴虫 si
蟾	虫口 ik
蠋	虫虫 ii
蠖	虫又 ii
蠲	丷虫 bi
蠼	虫又 ii
袂	衤夬 pg
袭	龙𧘇 lf
裁	十𧘇 uf
裰	衤又 pi
褡	衤口 pk
褥	衤寸 pc
褰	宀𧘇 bf
褶	衤白 pb
襜	衤口 pk
襞	尸𧘇 sf
觖	𠂊夬 xg
触	𠂊虫 xi
觳	士又 ti
詹	𠂊口 xk
謇	宀口 bk
譬	尸口 sk
讯	讠十 yu
诀	讠夬 yg
诌	讠彐 yn
谄	讠臼 yj
谔	讠亏 yk
谮	讠日 yp
谲	讠口 yk
谵	讠口 yk
谷	八口 zk
贝	冂人 nr
贡	工人 gr
责	龶人 fr
败	冂攵 nw
贪	人人 rr
贰	弋人 yr
贵	中人 vr
贾	西人 xr
赍	十人 ur
赓	广人 br
赔	冂口 nk
赘	龶人 fr
赙	冂寸 nc
赢	亡凡 wf
赣	立人 lr
赦	土攵 tw
趋	土彐 tn
跞	𧾷乐 zl
踣	𧾷口 zk
蹇	宀人 br
蹈	𧾷臼 zj
蹙	戊人 wr
蹦	𧾷月 zl
蹩	丶人 xr
蹰	𧾷寸 zc
蹶	𧾷人 zr
蹽	𧾷小 zc
躅	𧾷虫 zi
躔	𧾷土 zt
躞	𧾷又 zi
轹	车乐 il
载	十车 ui
辍	车又 ii
辎	车田 it
辐	车田 it
辑	车耳 iq
辜	十十 uu
辞	千十 qu
辩	立十 lu
辫	立十 lu
辱	厂寸 ic
逄	辶丨 zs
逡	辶夂 zw
遨	辶攵 zw
遮	辶灬 zh
遹	辶口 zk
避	辶十 zu
邀	辶攵 zw
邓	又阝 iq
邹	𠂊阝 xq
郄	乂阝 xq
部	立阝 lq
鄂	口阝 kq
鄄	西阝 xq
鄠	雨阝 yq
酃	雨阝 yq
酆	山阝 nq
酸	酉夂 fw
酹	酉寸 fc
醅	酉口 fk
采	丿木 pm
里	丨一 sh
重	丿一 ph
铠	钅己 jj
锅	钅内 jn
锊	钅寸 jc
锦	钅巾 jj
锫	钅口 jk
锱	钅田 jt
锸	钅臼 jj
锼	钅又 ji
镈	钅寸 jc
镌	钅乃 jn
镍	钅木 jm
镢	钅人 jr
镣	钅小 jc
镯	钅虫 ji
镵	钅丶 jx
闪	门人 mr
问	门口 mk
间	门日 mp
闷	门心 mx
闻	门耳 mq
闽	门虫 mi
阉	门电 md
阎	门臼 mj
阒	门犬 mq
阖	门皿 mm
阙	门人 mr
陛	阝土 qt
陧	阝土 qt
陪	阝口 qk
陵	阝夂 qw
陶	阝缶 qf
陷	阝臼 qj
随	阝辶 qz
隼	亻十 ru
集	亻木 rm
霞	雨又 yi
霹	雨十 yu
青	龶月 fl
靠	𠂒非 nf
靡	广非 bf
靥	厂面 im
革	廿丨 ns
鞠	革米 gh
鞲	革冉 gr
韂	革口 gk
韬	韦臼 wj
顶	丁人 dr
顸	干人 tr
项	工人 gr
颃	亠人 wr
颍	匕人 br
颖	匕人 br
题	日人 pr
颚	口人 kr
颦	止十 vu
飒	立乂 lx
飕	几又 ji
飙	犬乂 qx
馅	饣臼 uj
馊	饣又 ui
馞	禾子 hz
马	乛一 vh
驺	马彐 mn
骂	口马 km
骏	马夂 mw
骘	阝马 qm
骙	马天 mt
骚	马虫 mi
骛	龴马 sm
骜	龶马 fm
骞	宀马 bm
骣	马子 mz
骥	马八 mz
髑	骨虫 gi
髓	骨辶 gz
鬯	乂匕 xb
鬼	丿厶 ps
魂	二鬼 qg
魄	白鬼 bg
魇	厂鬼 ig
魔	广鬼 bg
鲎	𭕄鱼 xg
鲞	龹鱼 jg
鲮	鱼夂 gw
鲻	鱼田 gt
鳌	龶鱼 fg
鳖	丶鱼 xg
鳜	鱼人 gr
鸡	又鸟 in
鸢	弋鸟 yn
鸭	甲鸟 jn
鸳	夕鸟 xn
鸺	亻鸟 rn
鸿	氵鸟 dn
鹁	十鸟 un
鹃	口鸟 kn
鹜	龴鸟 sn
鹨	习鸟 xn
鹩	大鸟 dn
鹬	龴鸟 sn
鹰	广鸟 bn
黉	𭕄八 xz
黡	厂黑 ih
鼓	士又 ti
龢	人禾 rh
侨	亻丨 rs
勠	习力 xl
圫	土七 tq
奉	寿丨 fs
娇	女丨 ns
媪	女皿 nm
峤	山丨 ns
嶅	龶山 fn
嶦	山口 nk
廪	广小 bc
弆	土廾 tc
憨	乛心 vx
懔	忄小 xc
掖	扌乀 fy
摏	扌臼 fj
斟	其十 qu
栎	木乐 ml
桥	木丨 ms
榃	木田 mt
榱	木𧘇 mf
橑	木小 mc
歅	西人 xr
殁	歹又 di
毖	比必 bb
浡	氵子 dz
液	氵乀 dy
潖	氵巴 db
潩	氵八 dz
瀔	氵又 di
熻	火习 lx
珕	王力 wl
矫	矢丨 us
砄	石夬 ug
硙	石己 uj
硚	石丨 us
稂	禾良 hl
稌	禾余 hh
窎	宀鸟 bn
簝	𥫗小 vc
缞	纟𧘇 sf
腋	月乀 ly
良	丶艮 xg
茔	艹土 ct
茕	艹十 cu
荞	艹丨 cs
荥	艹水 cu
荮	艹寸 cc
蓑	艹𧘇 cf
螋	虫又 ii
裛	亠𧘇 wf
觇	丨见 sq
觏	一见 hq
觑	虍见 hq
觿	𠂊口 xk
诇	讠口 yk
谡	讠夂 yw
谪	讠口 yk
赝	厂人 ir
赡	冂口 nk
轿	车丨 is
辔	纟口 sk
酅	山阝 nq
鉴	丨金 sj
钹	钅丶 jx
铄	钅乐 jl
镝	钅口 jk
阕	门天 mt
面	一一 hh
鞒	革丨 gs
鞳	革口 gk
韫	韦皿 wm
餐	丨良 sl
饽	饣子 uz
馌	饣皿 um
骄	马丨 ms
骢	马心 mx
鲺	鱼虫 gi
鲾	鱼田 gt
鳛	鱼白 gb
鳠	鱼又 gi
鹌	大鸟 dn
鹐	𠂊鸟 xn
鹗	口鸟 kn
鹠	丿鸟 pn
鼹	臼女 jn
齇	自且 zq
齑	文丨 ws
鿍	土丨 ts
㫰	日良 pl
事	一丨 hs
伣	亻见 rq
俍	亻良 rl
勘	其力 ql
哏	口艮 kg
垠	土艮 tg
埌	土良 tl
娘	女良 nl
娠	女乀 ny
宸	宀乀 by
岘	山见 nq
崀	山良 nl
帮	寿巾 fj
很	彳艮 ig
徐	彳余 ih
恨	忄艮 xg
悢	忄良 xl
戡	其戈 qg
振	扌乀 fy
揽	扌见 fq
搅	扌见 fq
晨	日乀 py
枧	木见 mq
根	木艮 mg
桹	木良 ml
梌	木余 mh
榄	木见 mq
欺	其人 qr
比	比匕 bb
浪	氵良 dl
涂	氵余 dh
滁	氵余 dh
瀱	氵刂 dd
烺	火良 ll
狠	犭艮 qg
狳	犭余 qh
狼	犭良 ql
现	王见 wq
珢	王艮 wg
琅	王良 wl
痕	疒艮 bg
皆	比白 bb
监	丨皿 sm
眼	目艮 gg
砚	石见 uq
硍	石艮 ug
稚	禾龶 hf
笕	𥫗见 vq
筤	𥫗良 vl
粮	米良 hl
缆	纟见 sq
舰	舟见 vq
艅	舟余 vh
艰	又艮 ig
苋	艹见 cq
茛	艹艮 cg
荼	艹余 ch
莨	艹良 cl
蒗	艹良 cl
虞	虍天 ht
蚬	虫见 iq
蜍	虫余 ih
蠢	寿虫 fi
裉	衤艮 pg
觋	工见 gq
觌	十见 uq
觎	人见 rq
觐	廿见 nq
誊	龹口 jk
赈	冂乀 ny
跟	𧾷艮 zg
踉	𧾷良 zl
途	辶余 zh
酴	酉余 fh
酿	酉良 fl
银	钅艮 jg
锒	钅良 jl
镴	钅乛 jv
阆	门良 ml
限	阝艮 qg
除	阝余 qh
雠	亻龶 rf
震	雨乀 yy
饕	口良 kl
髋	骨见 gq
鸵	鸟匕 nb
鹮	罒鸟 sn
鹱	鸟又 ni
龈	止艮 vg
𬒈	𭕄石 xu
𬶨	既鱼 gg
㑊	亻丶 rx
㸌	火龶 lf
丝	乛一 vh
争	𠂊丨 xs
伞	人十 ru
傕	亻龶 rf
傩	亻龶 rf
催	亻龶 rf
净	冫丨 ds
准	冫龶 df
唯	口龶 kf
嚯	口龶 kf
域	土一 th
堆	土龶 tf
峥	山丨 ns
崔	山龶 nf
崡	山凵 nn
帷	巾龶 jf
怿	忄丨 xs
惟	忄龶 xf
或	戈一 gh
择	扌丨 fs
挣	扌丨 fs
推	扌龶 ff
摊	扌龶 ff
摧	扌龶 ff
暹	辶龶 zf
棫	木一 mh
椎	木龶 mf
榷	木龶 mf
殛	歹一 dh
泽	氵丨 ds
涵	氵凵 dn
淮	氵龶 df
滩	氵龶 df
漼	氵龶 df
潍	氵龶 df
灌	氵龶 df
煺	火辶 lz
狰	犭丨 qs
琟	王龶 wf
琤	王丨 ws
璀	王龶 wf
瓘	王龶 wf
瘫	疒龶 bf
睁	目丨 gs
睢	目龶 gf
碓	石龶 uf
竫	立丨 ls
筝	𥫗丨 vs
绎	纟丨 ss
维	纟龶 sf
罐	缶龶 ff
翟	习龶 xf
腿	月辶 lz
菡	艹凵 cn
萑	艹龶 cf
蔺	艹龶 cf
藿	艹龶 cf
蜈	虫天 it
蜮	虫一 ih
褪	衤辶 pz
译	讠丨 ys
诤	讠丨 ys
谁	讠龶 yf
迹	辶丶 zx
退	辶艮 zg
郫	丿阝 pq
铎	钅丨 js
铮	钅丨 js
锥	钅龶 jf
阈	门一 mh
难	又龶 if
雁	厂龶 if
雇	户龶 hf
雉	矢龶 uf
雊	勹龶 bf
雌	止龶 vf
雍	亠龶 wf
雒	夂龶 wf
雕	冂龶 nf
霍	雨龶 yf
静	龶丨 fs
馘	丷一 bh
驿	马丨 ms
骓	马龶 mf
骤	马乀 my
魋	鬼龶 gf
鸶	丝鸟 sn
鹎	丿鸟 pn
黔	黑乛 hv
黪	黑丿 hp
䅟	禾丿 hp
䝙	豸乂 vx
一	一一 hh
与	一一 hh
丏	一乛 hv
丐	一乛 hv
业	丨一 sh
丽	一丶 hx
之	丶乀 xy
乌	丿一 ph
乎	丿丨 ps
乏	丿之 pv
乜	乛乛 vv
九	丿乛 pv
也	乛乛 vv
乸	也母 ym
亚	一业 hy
凸	丨一 sh
凹	丨一 sh
凿	业凵 yn
刁	乛一 vh
勺	勹丶 bx
匈	勹凵 bn
匍	勹甫 bf
匡	匚王 nw
匣	匚甲 nj
匦	匚九 nj
匪	匚非 nf
匮	匚人 nr
匹	匚儿 nq
区	匚乂 nx
医	匚矢 nu
匼	匚口 nk
匾	匚艹 nc
匿	匚口 nk
升	丿廾 pc
卜	丨丶 sx
叵	匚口 nk
噩	王口 wk
囊	一𧘇 hf
少	小丿 cp
屯	一乛 hv
川	丿丨 ps
工	一一 hh
幻	幺乛 yv
引	弓丨 gs
弛	弓也 gy
张	弓长 gi
弧	弓瓜 gg
彪	虍丿 hp
斤	丿丨 ps
枣	一丶 hx
梁	氵木 dm
毛	丿乛 pv
毳	毛毛 mm
氏	丿乛 pv
永	丶乀 xy
求	一丶 hx
爪	丿乀 py
牂	爿羊 py
牙	一丿 hp
瓜	丿乀 py
瓦	一丶 hx
瓯	匚瓦 nw
甪	丿用 py
甫	一丶 hx
甭	不用 by
画	一凵 hn
疆	弓一 gh
疍	乛一 vh
登	乛一 vh
禹	丿丶 px
秀	禾乃 hn
种	禾中 hv
科	禾十 hu
秒	禾少 hu
秘	禾必 hb
秫	禾术 hu
秬	禾巨 hj
秭	禾丿 hp
秾	禾农 hn
稼	禾豕 hu
穆	禾丿 hp
羌	⺶乛 yv
群	尹羊 yy
苘	艹口 ck
虐	虍一 hh
虚	虍业 hy
衃	血不 xb
豹	豸勺 vu
豺	豸才 vc
貆	豸一 vh
身	丿丿 pp
躬	身弓 ug
躯	身乂 ux
长	丿乀 py
韭	非一 fh
飞	乛丶 vx
馝	禾必 hb
髢	一也 hy
默	黑犬 hq
黜	黑出 hi
黝	黑力 hl
黟	黑夕 hx
黠	黑口 hk
黢	黑夂 hw
黥	黑小 hc
黩	黑大 hd
黯	黑日 hp
鼐	乃乛 nv
㛚	女用 ny
㠇	山尤 ny
㠓	山乀 ny
㧟	扌匚 fn
㮾	丶木 xm
㳚	氵戍 du
㶲	火用 ly
㻬	王亏 wk
䏝	月专 lv
䏲	月丿 lp
䜣	讠斤 yi
䥽	钅丶 jx
丈	一乀 hy
且	丨一 sh
丙	一内 hn
两	一丶 hx
么	丿厶 ps
乱	千乛 qv
亍	二丨 qs
亶	亠一 wh
亿	亻乛 rv
仆	亻卜 rb
仇	亻九 rj
仍	亻乃 rn
他	亻也 ry
仗	亻丈 rv
仞	亻刃 rr
仡	亻乞 rq
仲	亻中 rv
价	亻丨 rs
任	亻壬 rr
伊	亻尹 ry
伋	亻及 rj
优	亻尤 ry
伛	亻乂 rx
伟	亻韦 rw
传	亻专 rv
伢	亻牙 ry
伥	亻长 ri
伫	亻一 rh
伸	亻申 ru
伾	亻丕 rp
但	亻一 rh
低	亻氐 rd
体	亻本 rb
佛	亻弗 rf
佟	亻丶 rx
佣	亻用 ry
佤	亻瓦 rw
佥	人一 rh
佯	亻羊 ry
佻	亻丶 rx
侃	亻乛 rv
侉	亻亏 rk
侪	亻丨 rs
侬	亻农 rn
侮	亻母 rm
俄	亻我 rw
俅	亻求 rq
俑	亻用 ry
俪	亻丽 rl
修	亻丿 rp
俵	亻𧘇 rf
俸	亻丨 rs
倌	亻㠯 rk
倴	亻廾 rc
偈	亻乛 rv
偡	亻乛 rv
偶	亻禺 ry
像	亻乀 ry
僦	亻尤 ry
僰	一人 hr
僵	亻一 rh
儴	亻𧘇 rf
兔	𠂊丶 xx
兕	凹儿 bq
兮	八乛 zv
兵	丘八 qz
写	冖与 by
冤	冖丶 bx
冬	夂丶 wx
冱	冫互 dh
冲	冫中 dv
减	冫口 dk
凘	冫斤 di
凳	乛几 vj
刃	刀丶 dx
刨	勹刂 bd
刭	乛刂 vd
到	一刂 hd
刺	一刂 hd
剅	一刂 hd
剌	束刂 ud
剕	非刂 fd
办	力丶 lx
劢	万力 wl
劣	少力 ul
劲	乛力 vl
勾	勹厶 bs
匀	勹冫 bd
包	勹巳 bs
协	十办 ub
卞	丶下 xx
卟	口卜 kb
占	丨口 sk
卢	丨尸 ss
卦	土卜 tb
卮	丿乛 pv
厮	厂斤 ii
参	厶丿 sp
反	丿又 pi
叔	上又 ui
叫	口丨 ks
号	口乛 kv
叼	口刁 kd
吃	口乞 kq
后	丿口 pk
吏	一乀 hy
向	丿口 pk
吓	口下 kx
吖	口丫 ky
君	尹口 yk
吟	口乛 kv
否	不口 bk
吨	口屯 kt
听	口斤 ki
吲	口丨 ks
吵	口少 ku
吸	口及 kj
吼	口乛 kv
呀	口牙 ky
呓	口乛 kv
呔	口太 kt
呕	口乂 kx
呜	口乌 kw
呣	口母 km
呱	口瓜 kg
呷	口甲 kj
呸	口丕 kp
呻	口申 ku
呼	口乎 kh
咂	口巾 kj
咇	口必 kb
和	禾口 hk
咏	口永 ky
咔	口卜 kb
咙	口龙 kl
咚	口丶 kx
咩	口羊 ky
咺	口一 kh
咿	口尹 ky
哐	口王 kw
哑	口亚 ky
哝	口农 kn
哟	口勺 ku
哢	口廾 kc
哦	口我 kw
哳	口斤 ki
哺	口甫 kf
哼	口了 kl
唪	口丨 ks
啭	口专 kv
啮	口凵 kn
喁	口禺 ky
喊	口口 kk
喝	口乛 kv
喧	口一 kh
喳	口一 kh
嗝	口丨 ks
嗨	口母 km
嘘	口业 ky
嘭	口丿 kp
嘱	口禹 ky
嘶	口斤 ki
噎	口一 kh
噔	口一 kh
噶	口乛 kv
嚎	口豕 ku
囔	口𧘇 kf
团	囗才 wc
囤	囗屯 wt
围	囗韦 ww
图	囗丶 wx
圃	囗甫 wf
圪	土乞 tq
圬	土亏 tk
地	土也 ty
圳	土川 ti
场	土丿 tp
圻	土斤 ti
圾	土及 tj
坉	土屯 tt
坏	土不 tb
坚	丨土 st
坞	土乌 tw
坤	土申 tu
坦	土一 th
坬	土瓜 tg
坯	土丕 tp
坻	土氐 td
坼	土斥 ti
垏	土聿 ty
垕	丿土 pt
垟	土羊 ty
垣	土一 th
垩	亚土 yt
垭	土亚 ty
垮	土亏 tk
垴	土凵 tn
垿	土丨 ts
埆	土用 ty
埇	土用 ty
城	土成 ti
埔	土甫 tf
埗	土丿 tp
堍	土丶 tx
堨	土乛 tv
堪	土乛 tv
塆	土弓 tg
塥	土丨 ts
塱	丶土 xt
墉	土丨 ts
墘	土乞 tq
墟	土业 ty
墼	车土 it
壑	丨土 st
壕	土豕 tu
声	士丿 tp
壶	士业 ty
壸	士亚 ty
壹	士一 th
处	夂卜 wb
外	夕卜 xb
太	大丶 dx
夭	丿大 pd
头	丶大 xd
夸	大亏 dk
夼	大川 di
奁	大乂 dx
奘	爿大 pd
奶	女乃 nn
她	女也 ny
妁	女勺 nu
妊	女壬 nr
妍	女开 nk
妗	女乛 nv
妙	女少 nu
妤	女丨 ns
妪	女乂 nx
妯	女由 ny
妲	女一 nh
姆	女母 nm
姊	女丿 np
委	禾女 hn
姘	女开 nk
姚	女丶 nx
姬	女丨 ns
姮	女一 nh
姱	女亏 nk
娅	女亚 ny
娓	女毛 nm
娣	女丿 np
娥	女我 nw
娶	耳女 qn
婊	女𧘇 nf
婠	女㠯 nk
婳	女凵 nn
婶	女申 nu
媭	丿女 pn
嫁	女豕 nu
嫭	女乎 nh
嬗	女一 nh
孔	子乛 zv
孕	乃子 nz
季	禾子 hz
孤	子瓜 zg
孬	不子 bz
孵	卵子 lz
宄	宀九 bj
宓	宀必 bb
宙	宀由 by
宠	宀龙 bl
审	宀申 bu
宣	宀一 bh
宦	宀臣 bi
宧	宀丨 bs
宬	宀成 bi
家	宀豕 bu
寒	宀丶 bx
寓	宀禺 by
小	丨丶 sx
尖	小大 cd
尜	小小 cc
尥	尢勺 yu
尬	尢丨 ys
就	亠尤 wy
尻	尸九 sj
尽	尺丶 ix
尾	尸毛 sm
屉	尸世 su
届	尸由 sy
屏	尸开 sk
属	尸禹 sy
屹	山乞 nq
屿	山与 ny
岈	山牙 ny
岌	山及 nj
岍	山开 nk
岑	山乛 nv
岖	山乂 nx
岠	山巨 nj
岫	山由 ny
岬	山甲 nj
岷	山民 nm
峂	山丶 nx
峘	山一 nh
峨	山我 nw
崟	山金 nj
崭	山斤 ni
崴	山女 nn
崿	山亏 nk
嵁	山乛 nv
嵅	山口 nk
嵇	禾山 hn
嵎	山禺 ny
嵖	山一 nh
嶙	山丨 ns
嶝	山一 nh
巡	辶乛 zv
巢	乛果 vg
巧	工乛 gv
巩	工凡 gf
币	丿巾 pj
帆	巾凡 jf
帏	巾韦 jw
帐	巾长 ji
帡	巾开 jk
幪	巾乀 jy
序	广丨 bs
应	广一 bh
底	广氐 bd
庙	广由 by
庞	广龙 bl
废	广丶 bx
庠	广羊 by
庹	广尺 bi
延	廴乛 zv
建	廴聿 zy
开	一廾 hc
弘	弓厶 gs
弟	丷丿 bp
弢	弓又 gi
弥	弓小 gc
弦	弓幺 gy
弨	弓口 gk
弩	女弓 ng
弭	弓耳 gq
弱	弓冫 gd
弶	弓小 gc
弸	弓月 gl
弹	弓丨 gs
强	弓虫 gi
形	开丿 kp
彤	丹丿 dp
彩	丿丿 pp
彰	立丿 lp
影	日丿 pp
徉	彳羊 iy
律	彳聿 iy
忆	忄乛 xv
忐	上心 ux
忑	下心 xx
忙	忄亡 xw
忡	忄中 xv
忧	忄尤 xy
忭	忄卞 xb
忳	忄屯 xt
忻	忄斤 xi
怀	忄不 xb
怄	忄乂 xx
怅	忄长 xi
怛	忄一 xh
怫	忄弗 xf
怵	忄术 xu
恒	忄一 xh
恶	亚心 yx
恼	忄凵 xn
悈	忄廾 xc
悌	忄丿 xp
悔	忄母 xm
悬	且心 qx
惘	忄亡 xw
惨	忄丿 xp
惭	忄斤 xi
愁	禾心 hx
愃	忄一 xh
愍	民心 mx
慌	忄乛 xv
慝	匚心 nx
慭	来心 lx
慵	忄丨 xs
憕	忄一 xh
戒	戈廾 gc
战	丨戈 sg
戤	乃戈 ng
戬	亚戈 yg
戽	户十 hu
才	一丿 hp
扎	扌乛 fv
扑	扌卜 fb
扔	扌乃 fn
执	扌丸 fw
扬	扌丿 fp
扰	扌尤 fy
扺	扌氏 fu
扽	扌屯 ft
抄	扌少 fu
抒	扌丨 fs
抓	扌爪 fv
抔	扌不 fb
抖	扌十 fu
折	扌斤 fi
抟	扌专 fv
抠	扌乂 fx
抵	扌氐 fd
抻	扌申 fu
押	扌甲 fj
抽	扌由 fy
抿	扌民 fm
拂	扌弗 ff
担	扌一 fh
拆	扌斥 fi
拇	扌母 fm
拒	扌巨 fj
拖	扌也 fy
拢	扌龙 fl
拤	扌卜 fb
拥	扌用 fy
拨	扌丶 fx
拯	扌一 fh
拷	扌乛 fv
拼	扌开 fk
拽	扌曳 fy
拿	人手 ru
挈	丰手 fu
挎	扌亏 fk
挑	扌丶 fx
挚	扌手 fu
挤	扌丨 fs
挲	氵手 du
捅	扌用 fy
捕	扌甫 ff
捧	扌丨 fs
掣	丿手 pu
掺	扌丿 fp
揕	扌乛 fv
揭	扌乛 fv
揸	扌一 fh
搀	扌丶 fx
摒	扌开 fk
撑	扌手 fu
撕	扌斤 fi
撺	扌串 fi
擅	扌一 fh
擎	艹手 cu
擤	扌丨 fs
攮	扌𧘇 ff
政	正攵 vw
救	求攵 qw
敷	甫攵 fw
斐	非文 fw
斓	文柬 wj
斗	丶十 xu
料	米十 hu
斛	𠂊十 xu
斜	人十 ru
斫	石斤 ui
新	立斤 li
於	方丶 fx
施	方也 fy
旄	方毛 fm
旐	方丶 fx
旒	方乛 fv
旦	日一 ph
旧	丨日 sp
旮	九日 jp
旯	日九 pj
旸	日丿 pp
昇	日升 pu
昏	氏日 up
昕	日斤 pi
昣	日丿 pp
昶	永日 yp
昼	尺一 ih
昽	日龙 pl
显	日业 py
晁	日丶 px
晅	日一 ph
晟	日成 pi
晡	日甫 pf
晦	日母 pm
晰	日斤 pi
暄	日一 ph
暅	日一 ph
暕	日柬 pj
曷	日乛 pv
朓	月丶 lx
朗	丶月 xl
朦	月乀 ly
札	木乛 mv
术	木丶 mx
朴	木卜 mb
朽	木乛 mv
杈	木叉 mi
杉	木丿 mp
材	木才 mc
杓	木勺 mu
杖	木丈 mv
杧	木亡 mw
杨	木丿 mp
杪	木少 mu
杯	木不 mb
杼	木丨 ms
极	木及 mj
枅	木开 mk
枍	木乛 mv
析	木斤 mi
枢	木乂 mx
枨	木长 mi
枵	木乛 mv
柊	木丶 mx
柙	木甲 mj
柚	木由 my
柜	木巨 mj
柝	木斥 mi
柢	木氐 md
查	木一 mh
柩	木久 mj
栊	木龙 ml
栐	木永 my
栟	木开 mk
栲	木乛 mv
样	木羊 my
桁	木亍 mi
桃	木丶 mx
框	木王 mw
桓	木一 mh
桠	木亚 my
桫	木少 mu
桶	木用 my
桷	木用 my
梅	木母 mm
梨	禾木 hm
梯	木丿 mp
械	木廾 mc
梳	木乛 mv
棐	非木 fm
棒	木丨 ms
棘	一乀 hy
棺	木㠯 mk
椪	木亚 my
椸	木也 my
椹	木乛 mv
楂	木一 mh
楝	木柬 mj
楦	木一 mh
榉	木丨 ms
榧	木非 mf
槲	木十 mu
樾	木乛 mv
橙	木一 mh
橡	木乀 my
橼	木豕 mu
檀	木一 mh
檬	木乀 my
櫆	木十 mu
欤	与人 yr
欧	匚人 nr
正	一止 hv
步	止丿 vp
歪	不正 bv
殄	歹丿 dp
殇	歹丿 dp
殪	歹一 dh
殴	匚又 ni
毒	龶母 fm
毓	丿乛 pv
毡	毛口 mk
毯	毛火 ml
毵	厶毛 sm
毹	人毛 rm
毽	毛廴 mz
氆	毛日 mp
氇	毛日 mp
氓	亡民 wm
氕	气丿 qp
氖	气乃 qn
氚	气川 qi
氟	气弗 qf
氡	气丶 qx
氧	气羊 qy
氩	气亚 qy
氿	氵九 dj
汇	氵匚 dn
汈	氵刁 dd
汊	氵叉 di
汋	氵勺 du
汔	氵乞 dq
池	氵也 dy
污	氵亏 dk
汤	氵丿 dp
汧	氵开 dk
汫	氵井 dj
汰	氵太 dt
汲	氵及 dj
汴	氵卞 db
汹	氵凵 dn
沂	氵斤 di
沌	氵屯 dt
沙	氵少 du
沤	氵乂 dx
沭	氵术 du
沸	氵弗 df
油	氵由 dy
泄	氵世 du
泌	氵必 db
泛	氵乏 df
泜	氵氐 dd
泯	氵民 dm
泳	氵永 dy
泷	氵龙 dl
泻	氵与 dy
泼	氵丶 dx
洋	氵羊 dy
洘	氵乛 dv
洢	氵尹 dy
津	氵聿 dy
洭	氵王 dw
洮	氵丶 dx
洲	氵州 dv
洴	氵开 dk
洹	氵一 dh
洿	氵亏 dk
流	氵乛 dv
济	氵丨 ds
浐	氵产 di
浓	氵农 dn
浕	氵丶 dx
浙	氵斤 di
浦	氵甫 df
海	氵母 dm
涉	氵丿 dp
涌	氵用 dy
涐	氵我 dw
涔	氵乛 dv
涕	氵丿 dp
涠	氵韦 dw
涨	氵长 di
涫	氵㠯 dk
淅	氵斤 di
淤	氵丶 dx
淦	氵金 dj
淫	氵壬 dr
渐	氵斤 di
渗	氵丿 dp
渣	氵一 dh
渲	氵一 dh
渴	氵乛 dv
湛	氵乛 dv
湴	氵亚 dy
湾	氵弓 dg
湿	氵业 dy
滆	氵丨 ds
滏	氵一 dh
滗	氵毛 dm
滚	氵𧘇 df
滹	氵乎 dh
漭	氵廾 dc
漾	氵永 dy
潾	氵丨 ds
澄	氵一 dh
澌	氵斤 di
澎	氵丿 dp
澜	氵柬 dj
澶	氵一 dh
濞	氵丨 ds
濠	氵豕 du
瀼	氵𧘇 df
灭	一火 hl
灸	久火 jl
灼	火勺 lu
炀	火丿 lp
炌	火丨 ls
炒	火少 lu
炖	火屯 lt
炘	火斤 li
炜	火韦 lw
炟	火一 lh
炬	火巨 lj
点	丨灬 sh
烀	火乎 lh
烊	火羊 ly
烜	火一 lh
烝	了灬 lh
烤	火乛 lv
烬	火丶 lx
焉	正灬 vh
煁	火乛 lv
煊	火一 lh
熙	匚灬 nh
燹	豕火 ul
爔	火丶 lx
爬	爪巴 vb
牁	爿口 pk
版	片又 pi
牌	片十 pu
牍	片大 pd
牤	牛亡 nw
牦	牛毛 nm
犁	禾牛 hn
犟	弓牛 gn
犰	犭九 qj
犹	犭尤 qy
